"","mse","info","sd","r.wj.1","r.wj.2","r.wj.3","min.wj","max.wj","mean.wj","length.diff","listnum"
"13",0.00478616901014077,6.90066192193985,4.59953897785759,0.859565221789436,0.844837796247538,0.86725770097387,0.844837796247538,0.86725770097387,0.857220239670281,5,"203"
"14",0.00480238053723415,6.89672556209622,4.61778386191983,0.855917102276993,0.83347651884528,0.884034336946857,0.83347651884528,0.884034336946857,0.857809319356377,7,"59"
"15",0.00518020187729794,6.8948620093343,4.58763500036066,0.869522955771689,0.820921016726006,0.858297784610003,0.820921016726006,0.869522955771689,0.849580585702566,7,"15"
"16",0.00520801867396934,6.90170811943235,4.69567575323499,0.846665330114881,0.872429514002939,0.853264094001763,0.846665330114881,0.872429514002939,0.857452979373194,5,"39"
"17",0.00526970641127116,6.90777588702296,4.73332300450266,0.84833951569409,0.85884510130286,0.843064145649576,0.843064145649576,0.85884510130286,0.850082920882175,7,"242"
"18",0.00530136922567321,6.90435117910382,4.73294135964288,0.856572353662735,0.837734378027095,0.881240004035669,0.837734378027095,0.881240004035669,0.858515578575167,5,"167"
"19",0.00541159989122651,6.90377263460464,4.72679555107991,0.86783675523461,0.862624234674058,0.855964884090303,0.855964884090303,0.86783675523461,0.862141957999657,7,"48"
"20",0.00545081515248737,6.89179076876163,4.62602855649186,0.856238533126787,0.846569890165231,0.879338993827377,0.846569890165231,0.879338993827377,0.860715805706465,5,"68"
"21",0.00546260499243398,6.90008644232569,4.6578491569596,0.874483299297208,0.813579862587693,0.870723831221894,0.813579862587693,0.874483299297208,0.852928997702265,5,"24"
"22",0.00546620738118328,6.90540172530471,4.70666757807081,0.835997842055872,0.884331592303092,0.849456418319534,0.835997842055872,0.884331592303092,0.856595284226166,7,"146"
"23",0.00550429015507652,6.89395473108192,4.60027531862877,0.852415772589866,0.862615862644081,0.873632376807361,0.852415772589866,0.873632376807361,0.862888004013769,5,"151"
"24",0.00563659433629047,6.90261906931361,4.67174609497683,0.881118149392907,0.868136212834338,0.830925484743487,0.830925484743487,0.881118149392907,0.860059948990244,5,"60"
"25",0.00573931127479718,6.90735685188328,4.80115006938365,0.863126372952753,0.833095715282066,0.866776482695902,0.833095715282066,0.866776482695902,0.854332856976907,5,"110"
"26",0.00574891095343444,6.90240419476127,4.74834268483562,0.862212951623335,0.844581233134462,0.871818057955765,0.844581233134462,0.871818057955765,0.859537414237854,5,"206"
"27",0.00580650834401888,6.89384529970487,4.60934379569154,0.853246218367793,0.819234690784033,0.865627164989884,0.819234690784033,0.865627164989884,0.846036024713903,5,"249"
"28",0.00585640414370864,6.90416736766147,4.80573872560015,0.880592891470073,0.816216754791645,0.860770423182244,0.816216754791645,0.880592891470073,0.852526689814654,5,"124"
"29",0.00592170094672168,6.90488373736972,4.74502232105345,0.863686681794437,0.836921101945217,0.872800678391528,0.836921101945217,0.872800678391528,0.857802820710394,5,"116"
"30",0.00600418704855579,6.90598838191164,4.74639466789858,0.823984072890149,0.876912052555388,0.830797834211745,0.823984072890149,0.876912052555388,0.843897986552427,5,"14"
"31",0.00601710441822809,6.90416160932311,4.7523151183066,0.824248941107138,0.889043394872636,0.856514649422453,0.824248941107138,0.889043394872636,0.856602328467409,7,"244"
"32",0.00626389817215599,6.90006147014932,4.65600262032104,0.828462516082568,0.862935076852504,0.860941222334105,0.828462516082568,0.862935076852504,0.850779605089726,7,"120"
"33",0.00627603961880135,6.90321886744547,4.75150636937905,0.843703308602851,0.856825056630174,0.852975109599416,0.843703308602851,0.856825056630174,0.851167824944147,5,"194"
